order_id,product_id,quantity,unit_price,unit_cost,discount
O000072,P011,16,165.0,107.45,0.0
O000073,P011,197,165.0,104.99,0.0
O000073,P001,24,6.99,3.41,0.0
O000073,P007,150,35.26,24.39,0.14
O000073,P005,89,32.99,17.93,0.0
O000074,P008,120,7.09,4.6,0.14
O000074,P003,115,16.99,8.52,0.0
O000074,P011,102,165.0,87.54,0.0
O000074,P013,68,12.55,8.63,0.07
O000074,P018,187,15.02,9.86,0.09
O000074,P001,97,6.43,3.24,0.08
O000074,P016,97,51.69,34.89,0.06
O000074,P005,115,32.99,18.22,0.0
O000075,P020,8,140.06,82.7,0.06
O000075,P011,148,165.0,107.0,0.0
O000075,P013,151,13.5,8.24,0.0
O000076,P003,112,16.99,8.77,0.0
O000076,P006,97,15.58,8.67,0.11
O000076,P014,157,17.0,10.54,0.0
O000076,P009,39,14.99,6.83,0.0
O000077,P015,182,67.15,42.76,0.15
O000077,P011,86,165.0,92.42,0.0
O000077,P014,130,17.0,11.42,0.0
O000077,P005,88,32.99,17.89,0.0
O000077,P010,105,16.5,8.43,0.0
O000077,P006,56,17.5,9.43,0.0
O000077,P016,179,48.39,34.94,0.12
O000078,P014,16,17.0,9.35,0.0
O000079,P013,112,13.5,8.29,0.0
O000079,P003,97,16.99,9.68,0.0
O000079,P015,157,68.73,47.68,0.13
O000079,P016,173,48.94,34.12,0.11
O000079,P020,149,149.0,97.4,0.0
O000079,P009,107,13.04,7.99,0.13
O000079,P018,32,14.85,8.12,0.1
O000079,P012,137,64.0,39.5,0.0
O000080,P012,80,64.0,38.15,0.0
O000080,P001,34,6.99,3.88,0.0
O000080,P016,94,54.99,31.3,0.0
O000080,P004,57,10.81,6.18,0.06
O000081,P004,1,11.5,6.67,0.0
O000082,P017,148,62.0,38.25,0.0
O000082,P006,108,15.4,9.52,0.12
O000082,P018,106,16.5,8.17,0.0
O000082,P019,55,21.0,12.15,0.0
O000082,P011,6,143.55,102.24,0.13
O000083,P006,4,17.5,8.69,0.0
O000083,P012,16,64.0,39.21,0.0
O000083,P011,11,165.0,99.68,0.0
O000083,P007,20,41.0,21.96,0.0
O000083,P015,4,79.0,44.41,0.0
O000084,P020,5,149.0,83.16,0.0
O000084,P019,8,21.0,11.72,0.0
O000084,P003,6,16.99,8.94,0.0
O000085,P014,52,17.0,9.79,0.0
O000085,P006,18,17.5,10.05,0.0
O000085,P016,129,54.99,29.89,0.0
O000085,P019,148,21.0,12.32,0.0
O000085,P017,180,62.0,38.87,0.0
O000085,P008,118,7.84,4.6,0.05
O000085,P005,199,30.68,17.19,0.07
O000085,P003,78,16.99,8.48,0.0
O000086,P004,15,11.5,6.22,0.0
O000086,P009,14,14.99,6.48,0.0
O000086,P018,8,16.5,8.77,0.0
O000086,P012,2,64.0,38.47,0.0
O000086,P002,12,9.99,5.58,0.0
O000087,P007,162,38.13,20.57,0.07
O000087,P019,20,21.0,12.51,0.0
O000087,P012,157,56.32,39.32,0.12
O000087,P014,79,17.0,10.43,0.0
O000087,P006,136,17.5,10.32,0.0
O000088,P005,68,32.99,19.63,0.0
O000088,P020,130,149.0,79.52,0.0
O000088,P008,165,8.25,4.52,0.0
O000088,P019,167,21.0,13.18,0.0
O000088,P011,108,141.9,97.75,0.14
O000088,P014,99,17.0,10.14,0.0
O000089,P012,73,57.6,37.27,0.1
O000089,P003,38,16.99,9.37,0.0
O000089,P018,92,16.5,10.11,0.0
O000089,P013,16,13.5,7.4,0.0
O000089,P007,122,41.0,19.89,0.0
O000089,P016,45,46.74,32.33,0.15
O000089,P014,56,17.0,11.49,0.0
O000089,P004,171,11.5,5.85,0.0
O000089,P008,75,7.75,4.16,0.06
O000090,P008,127,8.25,4.14,0.0
O000090,P014,137,14.96,10.7,0.12
O000090,P003,35,16.99,10.32,0.0
O000090,P004,38,10.81,6.12,0.06
O000090,P001,31,6.43,3.24,0.08
O000090,P017,102,62.0,41.55,0.0
O000091,P015,110,79.0,47.43,0.0
O000091,P012,60,55.68,35.02,0.13
O000091,P007,155,37.31,23.82,0.09
O000091,P005,40,32.99,17.32,0.0
O000092,P001,105,6.01,3.41,0.14
O000092,P010,66,14.85,8.7,0.1
O000092,P007,157,41.0,20.19,0.0
O000092,P017,8,62.0,43.58,0.0
O000092,P018,38,16.5,8.97,0.0
O000092,P012,112,64.0,37.67,0.0
O000093,P009,7,14.99,6.37,0.0
O000094,P014,57,15.64,11.44,0.08
O000094,P020,155,149.0,89.98,0.0
O000094,P013,179,12.29,8.49,0.09
O000094,P003,66,15.46,8.23,0.09
O000094,P005,121,29.03,18.96,0.12
O000094,P016,173,48.39,34.73,0.12
O000094,P002,184,9.99,4.51,0.0
O000094,P015,93,79.0,46.38,0.0
O000094,P019,189,18.48,11.58,0.12
O000094,P009,73,12.89,7.58,0.14
O000095,P019,132,19.53,13.38,0.07
O000095,P003,31,16.99,10.11,0.0
O000095,P016,34,54.99,30.63,0.0
O000095,P015,16,75.05,50.16,0.05
O000095,P012,98,55.04,37.84,0.14
O000095,P001,14,6.99,3.63,0.0
O000096,P011,4,165.0,97.42,0.0
O000096,P009,2,14.99,6.61,0.0
O000096,P003,17,16.99,10.31,0.0
O000096,P012,13,64.0,34.85,0.0
O000097,P015,67,79.0,45.72,0.0
O000097,P001,131,6.99,4.02,0.0
O000097,P012,192,64.0,42.75,0.0
O000097,P007,67,41.0,20.63,0.0
O000097,P010,11,14.36,8.15,0.13
O000097,P016,7,48.39,36.41,0.12
O000097,P013,193,12.15,8.65,0.1
O000097,P005,65,32.99,18.09,0.0
O000097,P018,41,14.19,9.7,0.14
O000097,P020,138,149.0,85.28,0.0
O000098,P005,85,28.7,20.37,0.13
O000098,P013,88,12.69,7.84,0.06
O000098,P003,56,16.99,8.41,0.0
O000098,P002,32,8.99,4.69,0.1
O000098,P014,109,14.79,9.3,0.13
O000098,P011,120,155.1,92.82,0.06
O000098,P018,45,14.52,9.92,0.12
O000098,P004,159,11.5,5.46,0.0
O000098,P020,88,149.0,79.65,0.0
O000098,P012,96,58.88,37.96,0.08
O000099,P018,15,16.5,8.33,0.0
O000099,P020,5,149.0,79.08,0.0
O000099,P008,2,8.25,4.98,0.0
O000099,P004,8,11.5,5.6,0.0
O000100,P019,19,21.0,11.58,0.0
O000101,P005,2,32.99,20.44,0.0
O000101,P003,2,16.99,8.48,0.0
O000101,P011,19,165.0,95.79,0.0
O000101,P004,13,11.5,6.14,0.0
O000102,P009,13,14.99,7.37,0.0
O000102,P020,170,149.0,82.77,0.0
O000102,P015,145,71.89,45.89,0.09
O000102,P005,112,32.99,17.1,0.0
O000103,P012,87,58.88,37.89,0.08
O000103,P016,61,54.99,29.03,0.0
O000103,P018,76,16.5,8.23,0.0
O000103,P019,140,21.0,11.87,0.0
O000103,P020,64,131.12,97.2,0.12
O000103,P015,73,79.0,46.5,0.0
O000103,P010,193,16.5,7.77,0.0
O000103,P009,61,14.99,7.31,0.0
O000104,P012,131,60.8,39.35,0.05
O000104,P019,19,18.9,11.5,0.1
O000104,P001,5,6.99,3.44,0.0
O000104,P020,38,129.63,83.74,0.13
O000104,P005,87,29.03,16.47,0.12
O000104,P010,41,16.5,9.3,0.0
O000104,P004,98,9.89,6.84,0.14
O000105,P006,49,17.5,9.69,0.0
O000105,P014,162,15.13,10.97,0.11
O000105,P016,49,54.99,31.83,0.0
O000105,P011,80,165.0,88.52,0.0
O000106,P002,16,9.99,4.68,0.0
O000106,P006,3,17.5,8.64,0.0
O000106,P011,11,165.0,89.49,0.0
O000106,P008,3,8.25,4.97,0.0
O000106,P004,11,11.5,6.07,0.0
O000107,P004,112,11.5,6.85,0.0
O000107,P001,131,6.36,3.92,0.09
O000107,P002,127,9.99,5.49,0.0
O000107,P013,199,12.69,8.57,0.06
O000107,P015,13,67.15,43.82,0.15
O000107,P012,23,64.0,37.45,0.0
O000108,P011,115,141.9,107.88,0.14
O000108,P016,45,46.74,29.23,0.15
O000108,P001,109,6.99,3.76,0.0
O000109,P016,158,51.14,32.64,0.07
O000109,P005,168,28.7,17.51,0.13
O000109,P002,83,9.99,5.48,0.0
O000109,P012,174,64.0,36.72,0.0
O000109,P001,104,6.99,3.31,0.0
O000109,P007,99,37.31,20.83,0.09
O000109,P018,72,15.51,8.61,0.06
O000109,P019,197,18.48,12.89,0.12
O000109,P011,143,165.0,95.33,0.0
O000109,P017,63,62.0,39.46,0.0
O000110,P019,3,21.0,11.98,0.0
O000110,P008,2,8.25,4.61,0.0
O000110,P016,17,54.99,35.2,0.0
O000110,P010,20,16.5,7.96,0.0
O000111,P007,5,41.0,20.03,0.0
O000111,P020,3,149.0,97.5,0.0
O000112,P011,88,165.0,105.84,0.0
O000112,P003,8,16.99,9.87,0.0
O000112,P019,138,19.74,13.15,0.06
O000112,P013,150,13.5,8.38,0.0
O000112,P017,30,62.0,42.99,0.0
O000112,P009,30,14.99,7.68,0.0
O000113,P019,9,21.0,12.01,0.0
O000113,P016,20,54.99,33.67,0.0
O000113,P002,13,9.99,4.55,0.0
O000113,P006,11,17.5,9.65,0.0
O000114,P011,84,165.0,92.16,0.0
O000114,P010,183,16.5,9.11,0.0
O000115,P009,109,14.99,7.6,0.0
O000115,P014,100,17.0,11.05,0.0
O000115,P003,45,16.99,8.25,0.0
O000115,P007,108,41.0,20.55,0.0
O000115,P015,150,68.73,40.83,0.13
O000115,P004,19,11.5,5.77,0.0
O000115,P019,97,18.27,12.91,0.13
O000116,P006,181,16.62,8.3,0.05
O000116,P016,151,51.14,35.04,0.07
O000116,P018,62,15.02,9.62,0.09
O000116,P012,10,64.0,42.41,0.0
O000116,P017,179,62.0,34.28,0.0
O000116,P003,170,16.99,8.49,0.0
O000116,P014,62,17.0,9.63,0.0
O000116,P005,83,32.99,19.41,0.0
O000116,P019,75,19.32,12.07,0.08
O000117,P019,160,21.0,11.65,0.0
O000117,P004,128,11.5,5.5,0.0
O000117,P001,168,6.15,3.43,0.12
O000117,P017,171,53.94,37.04,0.13
O000117,P012,19,64.0,41.85,0.0
O000117,P009,158,14.09,7.01,0.06
O000117,P011,11,165.0,101.07,0.0
O000117,P010,71,16.5,9.58,0.0
O000118,P011,18,165.0,100.66,0.0
O000118,P008,16,8.25,5.07,0.0
O000119,P006,179,17.5,10.12,0.0
O000119,P010,61,16.5,8.4,0.0
O000119,P004,83,11.5,6.03,0.0
O000119,P016,100,47.29,30.88,0.14
O000119,P005,125,32.99,16.44,0.0
O000119,P012,153,55.04,43.17,0.14
O000119,P017,133,62.0,35.34,0.0
O000119,P015,140,67.94,43.86,0.14
O000119,P009,40,12.74,8.04,0.15
O000119,P003,122,16.99,8.42,0.0
O000120,P011,75,165.0,90.47,0.0
O000120,P002,152,9.99,5.46,0.0
O000120,P001,200,6.36,3.83,0.09
O000120,P015,114,79.0,45.04,0.0
O000121,P007,103,38.54,22.57,0.06
O000121,P001,16,6.15,3.41,0.12
O000121,P019,157,21.0,12.37,0.0
O000121,P008,180,7.09,5.17,0.14
O000121,P017,96,53.32,41.33,0.14
O000121,P012,108,54.4,34.38,0.15
O000121,P006,59,17.5,9.75,0.0
O000121,P005,48,32.99,16.75,0.0
O000121,P003,14,16.99,8.94,0.0
O000121,P002,141,9.99,5.28,0.0
O000122,P004,118,11.5,5.97,0.0
O000122,P014,126,14.96,10.75,0.12
O000123,P009,55,14.99,7.37,0.0
O000123,P005,138,30.02,20.58,0.09
O000123,P014,46,17.0,9.1,0.0
O000123,P004,58,11.5,6.43,0.0
O000123,P017,65,62.0,34.23,0.0
O000123,P019,33,21.0,13.31,0.0
O000123,P002,43,9.99,5.69,0.0
O000123,P013,24,12.42,8.65,0.08
O000123,P018,64,16.5,9.13,0.0
O000123,P008,72,7.67,4.57,0.07
O000124,P014,174,14.62,10.62,0.14
O000124,P004,164,11.5,5.8,0.0
O000124,P019,100,19.11,13.24,0.09
O000124,P002,121,8.59,4.84,0.14
O000124,P001,112,6.99,3.72,0.0
O000124,P020,33,149.0,79.32,0.0
O000124,P003,45,16.99,8.33,0.0
O000125,P012,16,64.0,34.8,0.0
O000125,P001,8,6.99,3.77,0.0
O000125,P005,195,32.99,18.79,0.0
O000125,P016,176,54.99,35.79,0.0
O000125,P017,181,54.56,40.86,0.12
O000125,P002,68,9.99,5.1,0.0
O000125,P007,169,41.0,21.92,0.0
O000125,P008,147,8.25,5.05,0.0
O000126,P016,134,54.99,30.58,0.0
O000126,P006,108,15.93,9.94,0.09
O000126,P003,151,16.99,9.11,0.0
O000126,P020,119,149.0,83.22,0.0
O000126,P011,195,150.15,101.02,0.09
O000126,P004,147,11.5,6.22,0.0
O000126,P019,159,21.0,13.69,0.0
O000126,P005,135,32.99,18.73,0.0
O000126,P001,121,6.57,3.98,0.06
O000127,P012,79,60.16,39.4,0.06
O000127,P015,47,79.0,46.04,0.0
O000127,P004,195,10.23,6.48,0.11
O000127,P018,53,16.5,8.37,0.0
O000127,P008,60,8.25,4.56,0.0
O000127,P001,188,6.99,3.45,0.0
O000127,P006,16,17.5,10.18,0.0
O000127,P014,155,17.0,9.31,0.0
O000127,P011,122,165.0,101.14,0.0
O000128,P018,154,16.5,9.19,0.0
