order_id,customer_id,order_date,location,status
O000097,C0037,2024-01-21,Yard B - Boston,completed
O000098,C0096,2024-01-21,Yard A - Providence,completed
O000099,C0143,2024-01-21,Yard A - Providence,completed
O000100,C0168,2024-01-22,Yard C - Hartford,completed
O000101,C0123,2024-01-22,Yard A - Providence,completed
O000102,C0055,2024-01-22,Yard A - Providence,completed
O000103,C0081,2024-01-22,Yard C - Hartford,completed
O000104,C0120,2024-01-22,Yard A - Providence,completed
O000105,C0013,2024-01-22,Yard B - Boston,completed
O000106,C0194,2024-01-22,Yard B - Boston,completed
O000107,C0032,2024-01-22,Yard C - Hartford,completed
O000108,C0010,2024-01-22,Yard C - Hartford,completed
O000109,C0031,2024-01-23,Yard A - Providence,completed
O000110,C0174,2024-01-23,Yard C - Hartford,completed
O000111,C0178,2024-01-23,Yard A - Providence,completed
O000112,C0106,2024-01-23,Yard C - Hartford,completed
O000113,C0173,2024-01-24,Yard B - Boston,completed
O000114,C0061,2024-01-24,Yard B - Boston,completed
O000115,C0039,2024-01-24,Yard C - Hartford,completed
O000116,C0004,2024-01-25,Yard A - Providence,completed
O000117,C0060,2024-01-26,Yard B - Boston,completed
O000118,C0195,2024-01-26,Yard C - Hartford,returned
O000119,C0065,2024-01-26,Yard B - Boston,completed
O000120,C0011,2024-01-26,Yard B - Boston,completed
O000121,C0048,2024-01-27,Yard A - Providence,completed
O000122,C0014,2024-01-27,Yard C - Hartford,completed
O000123,C0054,2024-01-27,Yard C - Hartford,completed
O000124,C0038,2024-01-27,Yard B - Boston,completed
O000125,C0073,2024-01-28,Yard C - Hartford,completed
O000126,C0120,2024-01-28,Yard A - Providence,completed
O000127,C0059,2024-01-28,Yard B - Boston,completed
O000128,C0064,2024-01-28,Yard A - Providence,completed
O000129,C0085,2024-01-28,Yard C - Hartford,completed
O000130,C0062,2024-01-29,Yard C - Hartford,completed
O000131,C0170,2024-01-29,Yard B - Boston,completed
O000132,C0078,2024-01-29,Yard A - Providence,completed
O000133,C0085,2024-01-29,Yard B - Boston,completed
O000134,C0103,2024-01-30,Yard C - Hartford,completed
O000135,C0081,2024-01-30,Yard A - Providence,completed
O000136,C0083,2024-01-30,Yard C - Hartford,completed
O000137,C0106,2024-01-30,Yard C - Hartford,completed
O000138,C0001,2024-01-30,Yard C - Hartford,completed
O000139,C0029,2024-01-31,Yard C - Hartford,completed
O000140,C0029,2024-01-31,Yard C - Hartford,completed
O000141,C0117,2024-01-31,Yard B - Boston,completed
O000142,C0015,2024-01-31,Yard B - Boston,completed
O000143,C0088,2024-02-01,Yard B - Boston,completed
O000144,C0005,2024-02-01,Yard C - Hartford,completed
O000145,C0103,2024-02-01,Yard B - Boston,completed
O000146,C0023,2024-02-01,Yard B - Boston,completed
O000147,C0064,2024-02-02,Yard B - Boston,completed
O000148,C0153,2024-02-02,Yard C - Hartford,completed
O000149,C0149,2024-02-02,Yard C - Hartford,completed
O000150,C0164,2024-02-02,Yard A - Providence,completed
O000151,C0145,2024-02-02,Yard B - Boston,completed
O000152,C0100,2024-02-02,Yard A - Providence,completed
O000153,C0007,2024-02-02,Yard C - Hartford,completed
O000154,C0019,2024-02-02,Yard C - Hartford,completed
O000155,C0159,2024-02-03,Yard B - Boston,completed
O000156,C0153,2024-02-03,Yard B - Boston,completed
O000157,C0084,2024-02-03,Yard C - Hartford,completed
O000158,C0057,2024-02-03,Yard B - Boston,completed
O000159,C0076,2024-02-03,Yard C - Hartford,completed
O000160,C0107,2024-02-03,Yard B - Boston,completed
O000161,C0080,2024-02-04,Yard B - Boston,completed
O000162,C0057,2024-02-04,Yard A - Providence,completed
O000163,C0042,2024-02-04,Yard A - Providence,completed
O000164,C0151,2024-02-04,Yard C - Hartford,completed
O000165,C0032,2024-02-04,Yard A - Providence,returned
O000166,C0060,2024-02-05,Yard B - Boston,completed
O000167,C0063,2024-02-05,Yard C - Hartford,completed
O000168,C0013,2024-02-05,Yard C - Hartford,completed
O000169,C0071,2024-02-05,Yard C - Hartford,completed
O000170,C0116,2024-02-05,Yard C - Hartford,completed
O000171,C0198,2024-02-05,Yard A - Providence,completed
O000172,C0056,2024-02-06,Yard B - Boston,completed
O000173,C0095,2024-02-06,Yard C - Hartford,completed
O000174,C0103,2024-02-06,Yard B - Boston,completed
O000175,C0090,2024-02-06,Yard C - Hartford,completed
O000176,C0124,2024-02-07,Yard C - Hartford,completed
O000177,C0087,2024-02-07,Yard C - Hartford,completed
O000178,C0021,2024-02-08,Yard B - Boston,completed
O000179,C0096,2024-02-08,Yard C - Hartford,returned
O000180,C0058,2024-02-08,Yard B - Boston,completed
O000181,C0145,2024-02-08,Yard B - Boston,completed
O000182,C0012,2024-02-08,Yard C - Hartford,completed
O000183,C0015,2024-02-09,Yard C - Hartford,completed
O000184,C0059,2024-02-10,Yard B - Boston,completed
O000185,C0110,2024-02-10,Yard A - Providence,completed
O000186,C0111,2024-02-10,Yard B - Boston,completed
O000187,C0109,2024-02-11,Yard A - Providence,completed
O000188,C0128,2024-02-11,Yard C - Hartford,completed
O000189,C0108,2024-02-11,Yard A - Providence,completed
O000190,C0067,2024-02-11,Yard C - Hartford,returned
O000191,C0016,2024-02-12,Yard B - Boston,completed
O000192,C0108,2024-02-12,Yard C - Hartford,completed
O000193,C0060,2024-02-12,Yard A - Providence,completed
O000194,C0194,2024-02-12,Yard B - Boston,completed
O000195,C0008,2024-02-13,Yard A - Providence,completed
O000196,C0165,2024-02-13,Yard A - Providence,completed
O000197,C0090,2024-02-13,Yard C - Hartford,completed
O000198,C0066,2024-02-13,Yard B - Boston,completed
O000199,C0160,2024-02-13,Yard C - Hartford,completed
O000200,C0158,2024-02-13,Yard B - Boston,completed
O000201,C0017,2024-02-14,Yard C - Hartford,completed
O000202,C0127,2024-02-15,Yard C - Hartford,completed
O000203,C0061,2024-02-15,Yard C - Hartford,completed
O000204,C0029,2024-02-15,Yard C - Hartford,completed
O000205,C0179,2024-02-15,Yard B - Boston,completed
O000206,C0119,2024-02-16,Yard A - Providence,completed
O000207,C0035,2024-02-16,Yard A - Providence,completed
O000208,C0095,2024-02-16,Yard A - Providence,completed
O000209,C0112,2024-02-16,Yard C - Hartford,completed
O000210,C0009,2024-02-16,Yard A - Providence,completed
O000211,C0053,2024-02-17,Yard A - Providence,completed
O000212,C0025,2024-02-17,Yard A - Providence,returned
O000213,C0023,2024-02-17,Yard A - Providence,completed
O000214,C0066,2024-02-18,Yard A - Providence,completed
O000215,C0018,2024-02-18,Yard B - Boston,completed
O000216,C0152,2024-02-18,Yard A - Providence,completed
O000217,C0072,2024-02-19,Yard A - Providence,completed
O000218,C0128,2024-02-19,Yard C - Hartford,completed
O000219,C0192,2024-02-19,Yard C - Hartford,completed
O000220,C0147,2024-02-19,Yard C - Hartford,completed
O000221,C0189,2024-02-20,Yard B - Boston,completed
O000222,C0090,2024-02-20,Yard A - Providence,completed
O000223,C0071,2024-02-20,Yard B - Boston,completed
O000224,C0086,2024-02-21,Yard A - Providence,completed
O000225,C0039,2024-02-21,Yard A - Providence,completed
O000226,C0075,2024-02-21,Yard C - Hartford,completed
O000227,C0021,2024-02-21,Yard C - Hartford,returned
O000228,C0086,2024-02-22,Yard B - Boston,completed
O000229,C0042,2024-02-22,Yard B - Boston,completed
O000230,C0017,2024-02-23,Yard A - Providence,completed
O000231,C0076,2024-02-23,Yard A - Providence,completed
O000232,C0037,2024-02-24,Yard A - Providence,completed
O000233,C0168,2024-02-24,Yard A - Providence,completed
O000234,C0164,2024-02-24,Yard A - Providence,completed
O000235,C0186,2024-02-24,Yard B - Boston,completed
O000236,C0169,2024-02-24,Yard C - Hartford,completed
O000237,C0146,2024-02-24,Yard B - Boston,completed
O000238,C0005,2024-02-25,Yard A - Providence,completed
O000239,C0047,2024-02-25,Yard B - Boston,completed
O000240,C0083,2024-02-25,Yard B - Boston,completed
O000241,C0041,2024-02-25,Yard B - Boston,completed
O000242,C0027,2024-02-26,Yard B - Boston,completed
O000243,C0128,2024-02-26,Yard C - Hartford,completed
O000244,C0077,2024-02-26,Yard A - Providence,completed
O000245,C0191,2024-02-26,Yard A - Providence,completed
O000246,C0161,2024-02-26,Yard C - Hartford,completed
O000247,C0171,2024-02-26,Yard C - Hartford,completed
O000248,C0100,2024-02-26,Yard C - Hartford,completed
O000249,C0033,2024-02-26,Yard C - Hartford,completed
O000250,C0161,2024-02-27,Yard C - Hartford,completed
O000251,C0181,2024-02-27,Yard C - Hartford,completed
O000252,C0004,2024-02-27,Yard A - Providence,completed
O000253,C0112,2024-02-27,Yard C - Hartford,completed
O000254,C0052,2024-02-27,Yard C - Hartford,completed
O000255,C0124,2024-02-27,Yard B - Boston,returned
O000256,C0171,2024-02-28,Yard C - Hartford,completed
O000257,C0197,2024-02-29,Yard C - Hartford,completed
O000258,C0051,2024-02-29,Yard C - Hartford,completed
O000259,C0091,2024-02-29,Yard B - Boston,completed
O000260,C0197,2024-02-29,Yard C - Hartford,completed
O000261,C0193,2024-02-29,Yard A - Providence,completed
O000262,C0012,2024-03-01,Yard B - Boston,completed
O000263,C0073,2024-03-01,Yard C - Hartford,completed
O000264,C0060,2024-03-01,Yard C - Hartford,completed
O000265,C0087,2024-03-01,Yard A - Providence,completed
O000266,C0198,2024-03-01,Yard C - Hartford,completed
O000267,C0031,2024-03-01,Yard B - Boston,completed
O000268,C0041,2024-03-01,Yard C - Hartford,completed
O000269,C0102,2024-03-01,Yard B - Boston,completed
O000270,C0134,2024-03-01,Yard C - Hartford,completed
O000271,C0141,2024-03-01,Yard C - Hartford,completed
O000272,C0107,2024-03-01,Yard B - Boston,completed
O000273,C0191,2024-03-01,Yard B - Boston,completed
O000274,C0200,2024-03-02,Yard C - Hartford,completed
O000275,C0028,2024-03-02,Yard A - Providence,completed
O000276,C0195,2024-03-02,Yard C - Hartford,completed
O000277,C0055,2024-03-02,Yard B - Boston,completed
O000278,C0034,2024-03-02,Yard C - Hartford,completed
O000279,C0037,2024-03-02,Yard A - Providence,completed
O000280,C0124,2024-03-02,Yard C - Hartford,completed
O000281,C0097,2024-03-02,Yard B - Boston,completed
O000282,C0069,2024-03-02,Yard C - Hartford,completed
O000283,C0022,2024-03-02,Yard B - Boston,completed
O000284,C0082,2024-03-03,Yard A - Providence,completed
O000285,C0082,2024-03-03,Yard C - Hartford,completed
O000286,C0033,2024-03-03,Yard C - Hartford,completed
O000287,C0003,2024-03-03,Yard C - Hartford,completed
O000288,C0051,2024-03-03,Yard C - Hartford,completed
O000289,C0002,2024-03-03,Yard A - Providence,completed
O000290,C0137,2024-03-03,Yard B - Boston,completed
O000291,C0069,2024-03-03,Yard C - Hartford,completed
O000292,C0127,2024-03-03,Yard B - Boston,completed
O000293,C0125,2024-03-03,Yard B - Boston,completed
O000294,C0039,2024-03-03,Yard C - Hartford,completed
O000295,C0055,2024-03-03,Yard C - Hartford,completed
O000296,C0002,2024-03-04,Yard C - Hartford,completed
O000297,C0075,2024-03-04,Yard C - Hartford,completed
O000298,C0117,2024-03-04,Yard B - Boston,completed
O000299,C0026,2024-03-04,Yard A - Providence,completed
O000300,C0118,2024-03-04,Yard A - Providence,completed
O000301,C0092,2024-03-04,Yard B - Boston,completed
O000302,C0101,2024-03-04,Yard B - Boston,completed
O000303,C0110,2024-03-04,Yard C - Hartford,completed
O000304,C0090,2024-03-04,Yard B - Boston,completed
O000305,C0089,2024-03-04,Yard C - Hartford,completed
O000306,C0170,2024-03-04,Yard A - Providence,completed
O000307,C0065,2024-03-04,Yard C - Hartford,completed
O000308,C0090,2024-03-05,Yard C - Hartford,completed
O000309,C0148,2024-03-05,Yard B - Boston,completed
O000310,C0145,2024-03-05,Yard B - Boston,completed
O000311,C0061,2024-03-05,Yard B - Boston,completed
O000312,C0085,2024-03-05,Yard C - Hartford,completed
O000313,C0129,2024-03-05,Yard A - Providence,completed
O000314,C0105,2024-03-05,Yard B - Boston,completed
O000315,C0014,2024-03-05,Yard C - Hartford,completed
O000316,C0066,2024-03-05,Yard C - Hartford,completed
O000317,C0063,2024-03-05,Yard A - Providence,completed
O000318,C0093,2024-03-05,Yard A - Providence,completed
O000319,C0102,2024-03-06,Yard B - Boston,completed
O000320,C0165,2024-03-06,Yard C - Hartford,completed
O000321,C0090,2024-03-06,Yard C - Hartford,completed
O000322,C0132,2024-03-06,Yard A - Providence,completed
O000323,C0090,2024-03-06,Yard B - Boston,completed
O000324,C0044,2024-03-06,Yard A - Providence,completed
O000325,C0078,2024-03-06,Yard A - Providence,completed
O000326,C0170,2024-03-06,Yard B - Boston,completed
O000327,C0087,2024-03-06,Yard C - Hartford,returned
O000328,C0110,2024-03-06,Yard B - Boston,completed
O000329,C0047,2024-03-06,Yard C - Hartford,completed
O000330,C0125,2024-03-06,Yard C - Hartford,completed
O000331,C0111,2024-03-06,Yard A - Providence,completed
O000332,C0101,2024-03-07,Yard A - Providence,completed
O000333,C0086,2024-03-07,Yard C - Hartford,completed
O000334,C0072,2024-03-07,Yard B - Boston,completed
O000335,C0039,2024-03-07,Yard A - Providence,completed
O000336,C0048,2024-03-07,Yard C - Hartford,completed
O000337,C0045,2024-03-07,Yard C - Hartford,completed
O000338,C0008,2024-03-07,Yard A - Providence,completed
O000339,C0087,2024-03-07,Yard A - Providence,completed
O000340,C0200,2024-03-07,Yard B - Boston,completed
O000341,C0001,2024-03-07,Yard B - Boston,completed
O000342,C0189,2024-03-08,Yard B - Boston,completed
O000343,C0005,2024-03-08,Yard A - Providence,completed
O000344,C0152,2024-03-08,Yard C - Hartford,completed
O000345,C0082,2024-03-08,Yard A - Providence,completed
O000346,C0015,2024-03-08,Yard B - Boston,completed
O000347,C0050,2024-03-08,Yard A - Providence,completed
O000348,C0092,2024-03-08,Yard B - Boston,completed
O000349,C0035,2024-03-08,Yard C - Hartford,completed
O000350,C0154,2024-03-08,Yard C - Hartford,completed
O000351,C0081,2024-03-08,Yard C - Hartford,completed
O000352,C0037,2024-03-08,Yard A - Providence,completed
O000353,C0126,2024-03-08,Yard A - Providence,completed
O000354,C0102,2024-03-08,Yard A - Providence,completed
O000355,C0016,2024-03-08,Yard A - Providence,completed
O000356,C0088,2024-03-08,Yard C - Hartford,completed
O000357,C0087,2024-03-09,Yard B - Boston,completed
O000358,C0050,2024-03-09,Yard B - Boston,completed
O000359,C0018,2024-03-09,Yard A - Providence,completed
O000360,C0098,2024-03-09,Yard A - Providence,completed
O000361,C0179,2024-03-09,Yard C - Hartford,completed
O000362,C0137,2024-03-09,Yard C - Hartford,completed
O000363,C0047,2024-03-09,Yard C - Hartford,completed
O000364,C0137,2024-03-09,Yard C - Hartford,completed
O000365,C0125,2024-03-09,Yard B - Boston,completed
O000366,C0164,2024-03-09,Yard B - Boston,completed
O000367,C0193,2024-03-09,Yard C - Hartford,returned
O000368,C0112,2024-03-09,Yard A - Providence,completed
O000369,C0126,2024-03-09,Yard C - Hartford,returned
O000370,C0158,2024-03-10,Yard B - Boston,completed
O000371,C0171,2024-03-10,Yard B - Boston,completed
O000372,C0061,2024-03-10,Yard A - Providence,completed
O000373,C0069,2024-03-10,Yard C - Hartford,completed
O000374,C0070,2024-03-10,Yard A - Providence,completed
O000375,C0071,2024-03-10,Yard C - Hartford,completed
O000376,C0171,2024-03-10,Yard A - Providence,completed
O000377,C0174,2024-03-10,Yard C - Hartford,completed
O000378,C0151,2024-03-10,Yard C - Hartford,returned
O000379,C0170,2024-03-10,Yard C - Hartford,completed
O000380,C0154,2024-03-10,Yard C - Hartford,completed
O000381,C0131,2024-03-10,Yard C - Hartford,completed
O000382,C0032,2024-03-10,Yard C - Hartford,completed
O000383,C0073,2024-03-10,Yard C - Hartford,completed
O000384,C0016,2024-03-10,Yard A - Providence,completed
O000385,C0046,2024-03-11,Yard B - Boston,completed
O000386,C0102,2024-03-11,Yard A - Providence,completed
O000387,C0078,2024-03-11,Yard A - Providence,completed
O000388,C0036,2024-03-11,Yard B - Boston,completed
O000389,C0029,2024-03-11,Yard A - Providence,completed
O000390,C0034,2024-03-11,Yard B - Boston,completed
O000391,C0086,2024-03-11,Yard A - Providence,completed
O000392,C0004,2024-03-11,Yard B - Boston,completed
O000393,C0155,2024-03-11,Yard B - Boston,completed
O000394,C0090,2024-03-11,Yard C - Hartford,completed
O000395,C0038,2024-03-11,Yard A - Providence,completed
O000396,C0197,2024-03-11,Yard B - Boston,completed
O000397,C0190,2024-03-11,Yard B - Boston,returned
O000398,C0102,2024-03-11,Yard B - Boston,completed
O000399,C0037,2024-03-12,Yard A - Providence,completed
O000400,C0127,2024-03-12,Yard B - Boston,completed
O000401,C0158,2024-03-12,Yard A - Providence,completed
O000402,C0056,2024-03-12,Yard C - Hartford,completed
O000403,C0180,2024-03-12,Yard B - Boston,completed
O000404,C0070,2024-03-12,Yard C - Hartford,completed
O000405,C0008,2024-03-12,Yard B - Boston,completed
O000406,C0184,2024-03-12,Yard A - Providence,completed
O000407,C0001,2024-03-12,Yard A - Providence,completed
O000408,C0106,2024-03-12,Yard C - Hartford,completed
O000409,C0013,2024-03-12,Yard C - Hartford,completed
O000410,C0066,2024-03-12,Yard A - Providence,completed
O000411,C0188,2024-03-12,Yard B - Boston,completed
O000412,C0013,2024-03-12,Yard C - Hartford,completed
O000413,C0094,2024-03-13,Yard C - Hartford,completed
O000414,C0154,2024-03-13,Yard C - Hartford,completed
O000415,C0097,2024-03-13,Yard C - Hartford,completed
O000416,C0010,2024-03-13,Yard B - Boston,completed
O000417,C0120,2024-03-13,Yard A - Providence,completed
O000418,C0096,2024-03-13,Yard C - Hartford,completed
O000419,C0038,2024-03-13,Yard A - Providence,completed
O000420,C0135,2024-03-13,Yard A - Providence,completed
O000421,C0011,2024-03-13,Yard A - Providence,completed
O000422,C0157,2024-03-13,Yard C - Hartford,completed
O000423,C0074,2024-03-13,Yard B - Boston,completed
O000424,C0064,2024-03-13,Yard A - Providence,completed
O000425,C0190,2024-03-14,Yard C - Hartford,completed
O000426,C0042,2024-03-14,Yard C - Hartford,completed
O000427,C0010,2024-03-14,Yard A - Providence,completed
O000428,C0019,2024-03-14,Yard C - Hartford,completed
O000429,C0092,2024-03-14,Yard B - Boston,completed
O000430,C0064,2024-03-14,Yard B - Boston,completed
O000431,C0057,2024-03-14,Yard C - Hartford,completed
O000432,C0184,2024-03-14,Yard B - Boston,completed
O000433,C0072,2024-03-14,Yard C - Hartford,completed
O000434,C0046,2024-03-14,Yard C - Hartford,completed
O000435,C0182,2024-03-14,Yard B - Boston,completed
O000436,C0154,2024-03-14,Yard C - Hartford,completed
O000437,C0135,2024-03-15,Yard C - Hartford,completed
O000438,C0091,2024-03-15,Yard B - Boston,completed
O000439,C0133,2024-03-15,Yard C - Hartford,completed
O000440,C0012,2024-03-15,Yard A - Providence,returned
O000441,C0125,2024-03-15,Yard B - Boston,completed
O000442,C0097,2024-03-15,Yard A - Providence,completed
O000443,C0038,2024-03-15,Yard A - Providence,completed
O000444,C0009,2024-03-15,Yard A - Providence,completed
O000445,C0192,2024-03-15,Yard C - Hartford,completed
O000446,C0014,2024-03-15,Yard A - Providence,completed
O000447,C0022,2024-03-15,Yard C - Hartford,completed
O000448,C0113,2024-03-15,Yard A - Providence,completed
O000449,C0156,2024-03-15,Yard C - Hartford,completed
O000450,C0109,2024-03-15,Yard A - Providence,completed
O000451,C0091,2024-03-16,Yard A - Providence,completed
O000452,C0076,2024-03-16,Yard C - Hartford,returned
O000453,C0018,2024-03-16,Yard C - Hartford,completed
O000454,C0176,2024-03-16,Yard B - Boston,completed
O000455,C0005,2024-03-16,Yard A - Providence,completed
O000456,C0060,2024-03-16,Yard C - Hartford,completed
O000457,C0062,2024-03-16,Yard C - Hartford,completed
O000458,C0197,2024-03-16,Yard C - Hartford,completed
O000459,C0099,2024-03-16,Yard A - Providence,completed
O000460,C0010,2024-03-16,Yard B - Boston,completed
O000461,C0064,2024-03-16,Yard A - Providence,completed
O000462,C0086,2024-03-17,Yard B - Boston,completed
O000463,C0189,2024-03-17,Yard B - Boston,completed
O000464,C0120,2024-03-17,Yard C - Hartford,completed
O000465,C0039,2024-03-17,Yard C - Hartford,completed
O000466,C0118,2024-03-17,Yard C - Hartford,completed
O000467,C0144,2024-03-17,Yard B - Boston,completed
O000468,C0035,2024-03-17,Yard A - Providence,completed
O000469,C0009,2024-03-17,Yard C - Hartford,completed
O000470,C0123,2024-03-17,Yard B - Boston,completed
O000471,C0021,2024-03-17,Yard C - Hartford,returned
O000472,C0011,2024-03-17,Yard C - Hartford,completed
O000473,C0078,2024-03-17,Yard B - Boston,completed
O000474,C0069,2024-03-18,Yard C - Hartford,completed
O000475,C0139,2024-03-18,Yard C - Hartford,completed
O000476,C0082,2024-03-18,Yard B - Boston,completed
O000477,C0146,2024-03-18,Yard B - Boston,completed
O000478,C0128,2024-03-18,Yard B - Boston,completed
O000479,C0143,2024-03-18,Yard A - Providence,returned
O000480,C0030,2024-03-18,Yard A - Providence,completed
O000481,C0036,2024-03-18,Yard C - Hartford,completed
O000482,C0087,2024-03-18,Yard A - Providence,completed
O000483,C0121,2024-03-18,Yard B - Boston,completed
O000484,C0049,2024-03-18,Yard B - Boston,completed
O000485,C0057,2024-03-18,Yard B - Boston,completed
O000486,C0167,2024-03-19,Yard B - Boston,completed
O000487,C0091,2024-03-19,Yard B - Boston,completed
O000488,C0073,2024-03-19,Yard B - Boston,returned
O000489,C0029,2024-03-19,Yard C - Hartford,completed
O000490,C0112,2024-03-19,Yard C - Hartford,completed
O000491,C0185,2024-03-19,Yard B - Boston,completed
O000492,C0170,2024-03-19,Yard B - Boston,completed
O000493,C0005,2024-03-19,Yard A - Providence,completed
O000494,C0163,2024-03-19,Yard A - Providence,completed
O000495,C0077,2024-03-19,Yard C - Hartford,completed
O000496,C0153,2024-03-19,Yard A - Providence,completed
O000497,C0032,2024-03-19,Yard A - Providence,completed
O000498,C0172,2024-03-19,Yard B - Boston,returned
O000499,C0183,2024-03-19,Yard C - Hartford,completed
O000500,C0175,2024-03-20,Yard C - Hartford,completed
O000501,C0144,2024-03-20,Yard B - Boston,completed
O000502,C0142,2024-03-20,Yard B - Boston,completed
O000503,C0007,2024-03-20,Yard B - Boston,completed
O000504,C0068,2024-03-20,Yard A - Providence,completed
O000505,C0156,2024-03-20,Yard B - Boston,completed
O000506,C0035,2024-03-20,Yard A - Providence,returned
O000507,C0179,2024-03-20,Yard B - Boston,completed
O000508,C0072,2024-03-20,Yard C - Hartford,completed
O000509,C0189,2024-03-20,Yard A - Providence,completed
